"Ft","Country","time_t","time_t1","N0","N"
139,"DE",5,6,135,768
139,"DE",1,2,136,768
143,"DE",2,3,136,768
139,"DE",3,4,136,768
141,"DE",4,5,136,768
141,"DE",5,6,136,768
141,"DE",1,2,137,768
143,"DE",2,3,137,768
141,"DE",3,4,137,768
143,"DE",4,5,137,768
143,"DE",5,6,137,768
142,"DE",1,2,138,768
144,"DE",2,3,138,768
143,"DE",3,4,138,768
143,"DE",4,5,138,768
145,"DE",5,6,138,768
144,"DE",1,2,139,768
145,"DE",2,3,139,768
143,"DE",3,4,139,768
145,"DE",4,5,139,768
146,"DE",5,6,139,768
146,"DE",1,2,140,768
146,"DE",2,3,140,768
143,"DE",3,4,140,768
147,"DE",4,5,140,768
147,"DE",5,6,140,768
148,"DE",1,2,141,768
147,"DE",2,3,141,768
145,"DE",3,4,141,768
148,"DE",4,5,141,768
147,"DE",5,6,141,768
149,"DE",1,2,142,768
149,"DE",2,3,142,768
146,"DE",3,4,142,768
149,"DE",4,5,142,768
149,"DE",5,6,142,768
149,"DE",1,2,143,768
150,"DE",2,3,143,768
148,"DE",3,4,143,768
149,"DE",4,5,143,768
150,"DE",5,6,143,768
151,"DE",1,2,144,768
151,"DE",2,3,144,768
149,"DE",3,4,144,768
150,"DE",4,5,144,768
150,"DE",5,6,144,768
152,"DE",1,2,145,768
152,"DE",2,3,145,768
151,"DE",3,4,145,768
152,"DE",4,5,145,768
152,"DE",5,6,145,768
154,"DE",1,2,146,768
154,"DE",2,3,146,768
153,"DE",3,4,146,768
153,"DE",4,5,146,768
152,"DE",5,6,146,768
155,"DE",1,2,147,768
155,"DE",2,3,147,768
155,"DE",3,4,147,768
154,"DE",4,5,147,768
153,"DE",5,6,147,768
157,"DE",1,2,148,768
157,"DE",2,3,148,768
156,"DE",3,4,148,768
155,"DE",4,5,148,768
154,"DE",5,6,148,768
158,"DE",1,2,149,768
159,"DE",2,3,149,768
157,"DE",3,4,149,768
156,"DE",4,5,149,768
155,"DE",5,6,149,768
160,"DE",1,2,150,768
159,"DE",2,3,150,768
157,"DE",3,4,150,768
158,"DE",4,5,150,768
157,"DE",5,6,150,768
161,"DE",1,2,151,768
161,"DE",2,3,151,768
158,"DE",3,4,151,768
160,"DE",4,5,151,768
157,"DE",5,6,151,768
163,"DE",1,2,152,768
162,"DE",2,3,152,768
160,"DE",3,4,152,768
161,"DE",4,5,152,768
158,"DE",5,6,152,768
163,"DE",1,2,153,768
163,"DE",2,3,153,768
162,"DE",3,4,153,768
162,"DE",4,5,153,768
159,"DE",5,6,153,768
165,"DE",1,2,154,768
165,"DE",2,3,154,768
163,"DE",3,4,154,768
163,"DE",4,5,154,768
160,"DE",5,6,154,768
165,"DE",1,2,155,768
166,"DE",2,3,155,768
164,"DE",3,4,155,768
164,"DE",4,5,155,768
161,"DE",5,6,155,768
166,"DE",1,2,156,768
167,"DE",2,3,156,768
164,"DE",3,4,156,768
166,"DE",4,5,156,768
163,"DE",5,6,156,768
168,"DE",1,2,157,768
168,"DE",2,3,157,768
166,"DE",3,4,157,768
167,"DE",4,5,157,768
163,"DE",5,6,157,768
169,"DE",1,2,158,768
168,"DE",2,3,158,768
166,"DE",3,4,158,768
169,"DE",4,5,158,768
164,"DE",5,6,158,768
171,"DE",1,2,159,768
168,"DE",2,3,159,768
166,"DE",3,4,159,768
171,"DE",4,5,159,768
164,"DE",5,6,159,768
172,"DE",1,2,160,768
170,"DE",2,3,160,768
167,"DE",3,4,160,768
173,"DE",4,5,160,768
164,"DE",5,6,160,768
173,"DE",1,2,161,768
171,"DE",2,3,161,768
168,"DE",3,4,161,768
174,"DE",4,5,161,768
165,"DE",5,6,161,768
174,"DE",1,2,162,768
172,"DE",2,3,162,768
168,"DE",3,4,162,768
176,"DE",4,5,162,768
166,"DE",5,6,162,768
174,"DE",1,2,163,768
173,"DE",2,3,163,768
170,"DE",3,4,163,768
177,"DE",4,5,163,768
166,"DE",5,6,163,768
175,"DE",1,2,164,768
173,"DE",2,3,164,768
170,"DE",3,4,164,768
178,"DE",4,5,164,768
168,"DE",5,6,164,768
176,"DE",1,2,165,768
173,"DE",2,3,165,768
170,"DE",3,4,165,768
179,"DE",4,5,165,768
168,"DE",5,6,165,768
176,"DE",1,2,166,768
174,"DE",2,3,166,768
171,"DE",3,4,166,768
180,"DE",4,5,166,768
170,"DE",5,6,166,768
177,"DE",1,2,167,768
176,"DE",2,3,167,768
172,"DE",3,4,167,768
180,"DE",4,5,167,768
171,"DE",5,6,167,768
178,"DE",1,2,168,768
176,"DE",2,3,168,768
174,"DE",3,4,168,768
181,"DE",4,5,168,768
172,"DE",5,6,168,768
178,"DE",1,2,169,768
177,"DE",2,3,169,768
176,"DE",3,4,169,768
182,"DE",4,5,169,768
173,"DE",5,6,169,768
179,"DE",1,2,170,768
178,"DE",2,3,170,768
176,"DE",3,4,170,768
184,"DE",4,5,170,768
175,"DE",5,6,170,768
180,"DE",1,2,171,768
180,"DE",2,3,171,768
177,"DE",3,4,171,768
185,"DE",4,5,171,768
175,"DE",5,6,171,768
181,"DE",1,2,172,768
181,"DE",2,3,172,768
179,"DE",3,4,172,768
186,"DE",4,5,172,768
176,"DE",5,6,172,768
181,"DE",1,2,173,768
181,"DE",2,3,173,768
180,"DE",3,4,173,768
186,"DE",4,5,173,768
178,"DE",5,6,173,768
181,"DE",1,2,174,768
181,"DE",2,3,174,768
181,"DE",3,4,174,768
187,"DE",4,5,174,768
180,"DE",5,6,174,768
183,"DE",1,2,175,768
181,"DE",2,3,175,768
182,"DE",3,4,175,768
187,"DE",4,5,175,768
182,"DE",5,6,175,768
183,"DE",1,2,176,768
183,"DE",2,3,176,768
182,"DE",3,4,176,768
188,"DE",4,5,176,768
184,"DE",5,6,176,768
184,"DE",1,2,177,768
184,"DE",2,3,177,768
182,"DE",3,4,177,768
190,"DE",4,5,177,768
185,"DE",5,6,177,768
184,"DE",1,2,178,768
185,"DE",2,3,178,768
183,"DE",3,4,178,768
191,"DE",4,5,178,768
187,"DE",5,6,178,768
185,"DE",1,2,179,768
187,"DE",2,3,179,768
183,"DE",3,4,179,768
193,"DE",4,5,179,768
188,"DE",5,6,179,768
187,"DE",1,2,180,768
187,"DE",2,3,180,768
185,"DE",3,4,180,768
193,"DE",4,5,180,768
190,"DE",5,6,180,768
187,"DE",1,2,181,768
189,"DE",2,3,181,768
186,"DE",3,4,181,768
194,"DE",4,5,181,768
191,"DE",5,6,181,768
188,"DE",1,2,182,768
190,"DE",2,3,182,768
187,"DE",3,4,182,768
196,"DE",4,5,182,768
191,"DE",5,6,182,768
189,"DE",1,2,183,768
191,"DE",2,3,183,768
188,"DE",3,4,183,768
198,"DE",4,5,183,768
192,"DE",5,6,183,768
191,"DE",1,2,184,768
192,"DE",2,3,184,768
190,"DE",3,4,184,768
198,"DE",4,5,184,768
194,"DE",5,6,184,768
192,"DE",1,2,185,768
193,"DE",2,3,185,768
190,"DE",3,4,185,768
198,"DE",4,5,185,768
195,"DE",5,6,185,768
193,"DE",1,2,186,768
194,"DE",2,3,186,768
192,"DE",3,4,186,768
198,"DE",4,5,186,768
197,"DE",5,6,186,768
194,"DE",1,2,187,768
196,"DE",2,3,187,768
192,"DE",3,4,187,768
199,"DE",4,5,187,768
198,"DE",5,6,187,768
196,"DE",1,2,188,768
196,"DE",2,3,188,768
193,"DE",3,4,188,768
200,"DE",4,5,188,768
200,"DE",5,6,188,768
197,"DE",1,2,189,768
197,"DE",2,3,189,768
193,"DE",3,4,189,768
201,"DE",4,5,189,768
200,"DE",5,6,189,768
199,"DE",1,2,190,768
197,"DE",2,3,190,768
194,"DE",3,4,190,768
203,"DE",4,5,190,768
200,"DE",5,6,190,768
200,"DE",1,2,191,768
199,"DE",2,3,191,768
194,"DE",3,4,191,768
203,"DE",4,5,191,768
202,"DE",5,6,191,768
201,"DE",1,2,192,768
200,"DE",2,3,192,768
195,"DE",3,4,192,768
204,"DE",4,5,192,768
202,"DE",5,6,192,768
203,"DE",1,2,193,768
202,"DE",2,3,193,768
197,"DE",3,4,193,768
205,"DE",4,5,193,768
203,"DE",5,6,193,768
205,"DE",1,2,194,768
203,"DE",2,3,194,768
198,"DE",3,4,194,768
206,"DE",4,5,194,768
204,"DE",5,6,194,768
206,"DE",1,2,195,768
205,"DE",2,3,195,768
199,"DE",3,4,195,768
206,"DE",4,5,195,768
206,"DE",5,6,195,768
208,"DE",1,2,196,768
205,"DE",2,3,196,768
200,"DE",3,4,196,768
207,"DE",4,5,196,768
206,"DE",5,6,196,768
210,"DE",1,2,197,768
206,"DE",2,3,197,768
200,"DE",3,4,197,768
209,"DE",4,5,197,768
207,"DE",5,6,197,768
211,"DE",1,2,198,768
206,"DE",2,3,198,768
202,"DE",3,4,198,768
210,"DE",4,5,198,768
207,"DE",5,6,198,768
213,"DE",1,2,199,768
207,"DE",2,3,199,768
202,"DE",3,4,199,768
212,"DE",4,5,199,768
208,"DE",5,6,199,768
214,"DE",1,2,200,768
208,"DE",2,3,200,768
204,"DE",3,4,200,768
212,"DE",4,5,200,768
